Course Code,Course Name,Credits,Description
CSE 643,Computer Security,3 CREDITS,"Operating system and software security concepts: authentication, access control, secure programming, auditing, and trusted computing base."
CSE 644,Internet Security,3 CREDITS,"Internet security concepts including TCP/IP, DNS, BGP protocol security, firewalls, intrusion detection, encryption, PKI, and digital signatures."
IST 511,Cultural Foundations of Information Studies,3 CREDITS,"Survey of the professional, social, ethical, and legal issues affecting information service professionals and organizations and prepares students to deal with these issues and work with a diverse community."
IST 564,Accessible Library & Information Services,3 CREDITS,Strategies for planning library programs and services that are inclusive of the information needs of PK-12th grade students with disabilities.
IST 602,Digital Forensics,3 CREDITS,"Examination of information technology to establish probative information. Fundamentals of the forensic process, evidence handling, and quality assurance in digital forensics."
IST 603,Global Financial Systems Architecture,3 CREDITS,Structures of real-world information systems in money supply chain. Emphasis on large-scale banking organizations and their challenges in moving and processing millions of complex transactions worldwide. Additional work for graduate students.
IST 604,Cataloging of Information Resources,3 CREDITS,"Cataloging rules, standards, and metadata schemes; bibliographic utilities; formats of print and non-print materials; cataloging software; management issues."
IST 605,Reference and Information Literacy Services,3 CREDITS,The discovery and use of print and electronic resources and delivery of services in libraries to meet information needs of varied patron communities in a broad range of contexts.
IST 607,"Digital Humanities for Librarians, Archivists, & Cultural Heritage Workers",3 CREDITS,"Introduction to Digital Humanities in Libraries, Archives, Museums, and other cultural institutions. Focus on how information professionals can support DH work in their communities."
IST 608,Blockchain Management,3,"Students complete distributed ledger labs before developing, implementing, and ‘demo or die’ sharktanking their own new blockchain project. Blockchain concepts such as decentralization, smart contracts, trust and consensus governance are discussed."
IST 611,Information Technologies in Educational Organizations,3 CREDITS,"Information and communication technologies for teaching and learning in all types of libraries; instructional design, tool evaluation, ethics, policies, legislation."
IST 612,Youth Services in Libraries and Information Centers,3 CREDITS,"Theories, practices, media, literature and emerging trends of youth services from preschool to high school. Competencies for working with youth in various library settings."
IST 613,"Library Planning, Marketing, and Assessment",3 CREDITS,"User-focused planning, marketing, and assessment of activities that support core functions of libraries, such as collection development, systems, and public services."
IST 614,Information Technology Management and Policy,3,"Basic ideas, concepts and perspectives of management and policy as they apply to the information professions. Students learn to understand and apply these principles to improve organizational effectiveness and promote digital transformation."
IST 615,Cloud Management,3,"Cloud services creation and management. Practical experience in using, creating and managing digital services across data centers and hybrid clouds. Strategic choices for cloud digital service solutions across open data centers and software defined networks."
IST 616,Information Resources: Organization and Access,3 CREDITS,"Introduction to theories, tools, and standards for information organization and access, including cataloging rules and formats, content analysis, indexing, classification, and fundamentals of information retrieval systems."
